id,place_name,x,y
1949561591,청년밥상문간,127.00912148250727,37.60874446546178
16819186,동방손칼국수,127.013686053343,37.6111019133989
2118043633,지하서재,127.01051030255165,37.61105538752959
1536393758,마몽함박,127.00825662334532,37.61238002060219
16501643,기차순대국,127.00871265530098,37.608915684352276
1014401448,소우락정육식당 정릉본점,127.0088906560311,37.61052393704986
16040192,홈타운바베큐치킨,127.01402132098627,37.611235220429776
27495764,구름파스타,127.00952736075494,37.61210512322369
13092182,임금님수타자장면,127.00770505942322,37.612479166684864
21526500,청수장,127.010749582839,37.6053178643889
1157943354,명륜진사갈비 서울미아점,127.01613540184988,37.619668202242565
24878858,마마우동,127.00824077485856,37.61245119983507
24766632,주대국초밥집 미아점,127.01843707883486,37.61973994409529
711914897,모던양갱집,127.01038937151557,37.612885306875185
13007118,바람난오리궁뎅이,127.00312498714666,37.61609234129553
477747229,셀리하우스,127.02048303804,37.620795564291
1981866461,떼돈,127.0101708660522,37.61352412697659
1583585647,스타벅스 미아뉴타운점,127.02114611983023,37.61834476046741
867271903,정릉회관,127.0054046513,37.6110557317988
919188916,수마카롱,127.01041430173281,37.61297810653428
18630736,키웨스트커피,127.009830622889,37.6100355263189
23067677,맘스터치 신서경대점,127.01398849713848,37.61134694697261
26909639,투썸플레이스 미아테라스파크점,127.01885479415961,37.61873527661519
1370569673,시경양꼬치,127.02272296651739,37.61882919889067
14703586,솔샘칼국수&보쌈,127.01933522478232,37.619388415099195
18661452,도미노피자 미아점,127.02198509302858,37.61716521372921
27177671,맥도날드 미아DT점,127.021656909035,37.6181644702265
700398206,카페 그레테,127.007805807845,37.6119746062494
1555591848,정릉곤드레밥,127.011586187953,37.610658851575
11667833,두메골,127.020561131438,37.6205612939211
1302444345,필링커피,127.01006878278903,37.61242583033102
16053752,태평양회수산,127.01042226567743,37.61323398665555
21539882,최고집해물찜칼국수,127.018367743413,37.6187632840576
8774149,광명족발,127.02068299219172,37.618853900745165
134411730,원조감자탕 일미집 정릉점,127.00905582311486,37.608975123828
496588131,청년고기장수 정릉점,127.007767345996,37.6124187963385
1223865164,60계치킨 서울미아뉴타운점,127.01820576222559,37.61873808149683
27058516,롯데리아 삼양사거리점,127.01916321548758,37.6200173326419
1375952922,조선감저 뼈다귀전문점 미아점,127.016981588375,37.6199095482312
22023502,인차이나,127.020451950027,37.618953950679
716238559,메가MGC커피 미아삼각산점,127.01896972787999,37.61637016435734
27516886,BBQ 정릉풍림스타점,127.009120157588,37.6164434156985
491189279,오장동함흥냉면,127.018576391306,37.6196975758147
756699505,하오하오츠 정릉점,127.015440728082,37.6071418483465
1737996785,카페스윗 정릉점,127.00996058687112,37.60793260604622
